importer,good,nexp_bin,f_bin,final_source,n_exporters,fstat_kp,sigma_pub,sigma_se_pub,sigma_base,boot_n_ok,boot_yield,boot_med,boot_sd,boot_mad_sd,ratio_sd,ratio_mad
694,4817,10-19,F<2,step2_weighted,16,0.703050728535115,3.20887139495265,40.252533560776,3.20887139495265,336,0.842105263157895,2.78453983625545,1.59656758407271,1.49622842362424,0.0396637787199681,0.0371710372308649
417,5704,10-19,F<2,step2_weighted,13,0.78147006249645,3.06872352387155,2.26916025108498,3.06872352387155,315,0.789473684210526,2.96341192304753,1.38770131432825,0.996940450824434,0.611548397106255,0.439343343136631
417,7228,10-19,F<2,step2_weighted,11,1.16416919570494,4.78464919650314,0.224005801329173,4.78464919650314,319,0.799498746867168,3.69636248065471,1.13416018527364,1.50643874885516,5.06308398507504,6.72499881662207
710,2528,10-19,F<2,step2_weighted,12,1.48190277435334,5.04259101788546,2.97269565539066,5.04259101788546,291,0.729323308270677,2.84092233929784,2.38214041556696,1.63994042959777,0.801340161158851,0.551667785642272
558,2503,10-19,F<2,step2_weighted,10,0.761457539898238,5.06524058579253,65.3387722790162,5.06524058579253,250,0.6265664160401,4.740043899841,2.61623431341466,3.39270987690214,0.0400410693706113,0.05192491010413
418,4104,10-19,F<2,step2_weighted,17,1.29844679155949,4.43529510536038,31.7013931927628,4.43529510536038,263,0.659147869674186,5.05804590775971,2.87489567020915,2.97230871601625,0.0906867295304065,0.0937595612263123
496,0906,10-19,F<2,step2_weighted,15,0.653652236692056,2.85114095554215,28.8423862741564,2.85114095554215,262,0.656641604010025,3.80641119828004,2.60059017789338,2.37596050080925,0.0901655692831345,0.0823773899366356
108,0804,10-19,F<2,step2_weighted,10,1.58293047727994,7.63604197213173,88.3579059502599,7.63604197213173,207,0.518796992481203,4.23527819207654,2.77892936979517,3.20816662389167,0.0314508287618262,0.036308767046807
222,7004,10-19,F<2,step2_weighted,19,1.78148396297889,2.92177370620445,3.94763031583073,2.92177370620445,319,0.799498746867168,3.09497398817558,1.70949928737889,0.68605264569133,0.433044421744226,0.173788473287413
690,0908,10-19,F<2,step2_weighted,16,1.15458679470723,3.62140753636215,2.52311738443853,3.62140753636215,295,0.739348370927318,3.45667578891025,2.21453891131799,1.1930455211841,0.877699517658702,0.472845824987086
711,2851,10-19,F<2,step2_weighted,11,1.10033285971748,1.53450613854651,2.53399707899169,1.53450613854651,280,0.701754385964912,1.59805428856177,1.20576347488259,0.373444565676351,0.475834595422018,0.147373715925888
100,0103,10-19,F<2,step2_weighted,15,1.82350515989737,3.33386251183113,3.00958922654947,3.33386251183113,204,0.511278195488722,3.55097824889595,3.14484648597414,1.83806718427569,1.04494209981598,0.610736896604011
20,6507,10-19,F<2,step2_weighted,13,0.874833534297236,1.70852743873636,11.1162385531793,1.70852743873636,214,0.536340852130326,1.6618502041694,2.64734714848881,0.501759771292558,0.238151343714341,0.0451375498008769
562,6310,10-19,F<2,step2_weighted,18,0.810019839099956,2.72957628936282,84.6815403393798,2.72957628936282,283,0.709273182957394,2.15953323207215,2.19348900434912,0.627681388162899,0.0259028000147167,0.00741225756696593
454,5807,10-19,F<2,step2_weighted,19,1.13505845367823,2.13905224985224,2.76248899429131,2.13905224985224,354,0.887218045112782,2.23257498626035,2.02356698417383,0.786305188200202,0.732515853766488,0.28463649622681
192,8003,10-19,F<2,step2_weighted,14,1.4390134252391,1.93574859568501,0.993377312364121,1.93574859568501,282,0.706766917293233,2.0057267001369,1.56709174662712,0.47521750439728,1.57753929662197,0.478385703480904
90,1101,10-19,F<2,step2_weighted,11,0.86691103936218,9.95466205981367,67.797496470544,9.95466205981367,292,0.731829573934837,4.26544169318149,2.46349607163606,2.29124260842562,0.0363360920370618,0.033795386669198
192,2844,10-19,F<2,step2_weighted,16,0.737372552444171,3.18622615760605,28.1208451326429,3.18622615760605,237,0.593984962406015,2.52853497872252,1.1631542287418,0.527802441112594,0.0413627052549568,0.0187690817478283
533,6507,10-19,F<2,step2_weighted,11,1.0862196096659,1.76648177700131,3.54463989598238,1.76648177700131,242,0.606516290726817,1.73268453202646,3.09263300748715,0.544274859070397,0.872481577322552,0.153548703124201
760,5204,10-19,F<2,step2_weighted,12,1.17533775832405,1.35911276098001,3.2440913342457,1.35911276098001,175,0.43859649122807,1.47204581093332,1.47057668293995,0.383747946312041,0.453309272589234,0.118291350881855
388,3507,10-19,F<2,step2_weighted,12,1.35659421035383,1.57312072238978,5.26321576553261,1.57312072238978,286,0.716791979949875,1.75718250136327,1.69299801094096,0.264204920469028,0.321666085215042,0.0501983829352457
478,8711,10-19,F<2,step2_weighted,15,1.9382803998985,1.74745349433366,3.64868222874649,1.74745349433366,289,0.724310776942356,1.81916813573684,2.38499053870308,0.396413122833835,0.653658057671535,0.108645559679233
51,4503,10-19,F<2,step2_weighted,17,1.95040675802956,2.314769423158,4.66397909659247,2.314769423158,306,0.766917293233083,2.38207269116883,1.94814800240313,0.733390343492425,0.417700843433553,0.157245632603337
531,4008,10-19,F<2,step2_weighted,16,0.552169847281209,2.43971349726234,25.8014852974604,2.43971349726234,263,0.659147869674186,2.81317449226574,3.02598231710674,2.04496067947188,0.117279384586615,0.0792574790131625
540,4007,10-19,F<2,step2_weighted,11,1.11965947917096,1.64792044400249,0.832106942520271,1.64792044400249,202,0.506265664160401,1.68599337669149,2.14893571951512,0.44068769046156,2.58252348310718,0.52960463125907
694,0204,10-19,F<2,step2_weighted,10,1.7706102994754,1.47714985591266,1.67950610932712,1.47714985591266,225,0.56390977443609,1.77029022094299,1.47489118857605,0.437187630837717,0.878169588300547,0.260307258431392
643,7803,10-19,F<2,step2_weighted,17,0.891205739132248,6.27047501018552,2.80563730826196,6.27047501018552,298,0.746867167919799,6.68542580837616,2.49580345444254,3.16810692465439,0.889567388875592,1.12919332635228
430,3816,10-19,F<2,step2_weighted,15,1.04147194245758,1.87746913539937,2.24877784740523,1.87746913539937,218,0.546365914786967,1.93325995343251,1.69799947366608,0.30596374478514,0.755076574427005,0.136057790296262
854,0207,10-19,F<2,step2_weighted,15,1.90777426102114,2.64937452523997,0.433378198915543,2.64937452523997,222,0.556390977443609,2.50585312434867,1.98523522325479,0.467123309645964,4.58083777223337,1.07786527059936
258,9616,10-19,F<2,step2_weighted,19,0.654430924786792,4.58461086686342,70.2715172531201,4.58461086686342,306,0.766917293233083,3.02053629929302,2.29350854471208,1.55417905884747,0.0326378116534868,0.0221167710560351
90,6804,10-19,F<2,step2_weighted,10,0.93830317186044,6.67695441517554,4.887621796227,6.67695441517554,308,0.771929824561403,5.53288017318994,2.43381055903948,2.52362965607489,0.49795394580617,0.516330796712422
96,3901,10-19,F<2,step2_weighted,12,0.981757307514139,7.78044874668026,11.7119125668837,7.78044874668026,192,0.481203007518797,6.83491503337438,2.75552996399292,3.98271585224748,0.235275831189552,0.340056829275597
757,8110,10-19,F<2,step2_weighted,17,1.53778753934641,2.76838539650362,3.5551215145996,2.76838539650362,220,0.551378446115288,2.81178149644881,2.44074583384923,1.14451119742291,0.686543574903409,0.321933073939334
84,2105,10-19,F<2,step2_weighted,10,0.846453419896896,9.84300272745325,3.730752379855,9.84300272745325,338,0.847117794486216,9.498494295334,3.21988497407547,0.743532357737812,0.863065850058003,0.199298233180169
152,5504,10-19,F<2,step2_weighted,15,0.56256562465695,6.54618574287151,71.8989287165941,6.54618574287151,240,0.601503759398496,3.31887520914379,2.6336287881101,2.01302863990258,0.0366295970624423,0.0279980338488406
662,9019,10-19,F<2,step2_weighted,18,1.30717849466656,9.61000495422907,43.2477608890286,9.61000495422907,224,0.56140350877193,6.68309273233887,2.94211323840719,4.91764671503439,0.0680292615831948,0.11370870107363
112,8907,10-19,F<2,step2_weighted,17,1.21799738808182,3.08405165690825,2.780292808143,3.08405165690825,278,0.696741854636592,2.90493385943419,1.81801934126132,0.956194199859154,0.65389491924615,0.343918524357804
440,7108,10-19,F<2,step2_weighted,15,1.50867494646637,5.39158054375205,12.6204430460054,5.39158054375205,302,0.756892230576441,5.44804134434468,2.02577506291089,1.95582802673521,0.160515368242328,0.154973008443968
862,2516,10-19,F<2,step2_weighted,13,0.715434169795667,2.12953822825182,15.6018256194425,2.12953822825182,201,0.503759398496241,1.94567846931419,3.15637332619924,0.842983928830554,0.202307948004871,0.0540311082428747
296,8205,10-19,F<2,step2_weighted,15,1.72676738966542,2.12324472197829,4.01960415351787,2.12324472197829,178,0.446115288220551,2.28087688156827,2.08729085946291,0.596292515922877,0.519277714855619,0.148346079153345
232,8466,10-19,F<2,step2_weighted,14,1.71005778643792,2.20954853670064,21.4002327987206,2.20954853670064,257,0.644110275689223,2.55702479747449,2.56736341611514,1.47036504386135,0.119968948013903,0.0687078994743109
300,7602,50+,F<2,step2_weighted,75,1.45023595921964,1.67569221919739,8.84657411615134,1.67569221919739,366,0.917293233082707,1.97124964061307,2.01665075436682,0.625554069939494,0.227958385685707,0.0707114484913894
608,3304,50+,F<2,step2_weighted,72,1.90871042295874,1.52843295354818,1.23651555132101,1.52843295354818,389,0.974937343358396,1.69583689266422,2.1233303349359,0.587694402968133,1.71718854054644,0.475282662106659
699,3215,50+,F<2,step2_weighted,79,1.96608839432322,3.20437051293398,2.68779111558787,3.20437051293398,377,0.944862155388471,2.87688746063911,2.82131231011012,1.81141655838418,1.04967692383084,0.6739424607362
422,3901,50+,F<2,step2_weighted,51,1.53412649578076,1.42551216114717,3.24979485469654,1.42551216114717,376,0.942355889724311,1.72168139199701,3.31513554385703,0.640356101521085,1.02010609656362,0.197045084429146
699,2930,50+,F<2,step2_weighted,59,1.82338771263817,7.47481394284443,66.2984129873222,7.47481394284443,365,0.914786967418546,3.90471640322835,2.76905167277711,2.83067050000624,0.0417664850183762,0.0426959013415227
490,6111,50+,F<2,step2_weighted,73,1.65177028449966,5.5394378306079,15.7425024182548,5.5394378306079,338,0.847117794486216,3.50489044229747,2.76608681698196,1.84911336549883,0.175708203403192,0.117459938475513
702,7415,50+,F<2,step2_weighted,62,1.75959208938455,6.16671335789228,150.817593079139,6.16671335789228,381,0.954887218045113,2.62412723287685,1.92605809999638,1.83066395577095,0.0127707786649646,0.0121382652938265
528,4106,50+,F<2,step2_weighted,50,1.16146944940818,9.63794492750813,26.108134900448,9.63794492750813,337,0.844611528822055,4.3140376506975,3.06688272707062,3.52644313053034,0.117468472518809,0.135070664525708
380,8474,50+,F<2,step2_weighted,110,1.51704940347908,3.75699726909119,5.55086461038464,3.75699726909119,391,0.979949874686717,3.74547488358147,2.36447560401124,1.93286941367955,0.425965281082112,0.348210513018731
724,6507,50+,F<2,step2_weighted,63,1.19504703817091,4.98394076377663,32.7632813066666,4.98394076377663,343,0.859649122807018,3.20914321165604,3.02509852206362,2.1851279620291,0.092331976573057,0.0666944174967136
