stratum,n_cells,n_ratio,med_yield,ratio_p25,ratio_med,ratio_p75,ratio_mad_med,share_within_25pct,same_route_med,n_ratio_same,ratio_same_med,ratio_same_mad_med,ratio_se_same_med,share_same_within_25pct
OVERALL,750,727,0.865,1.589,3.792,8.859,1.591,0.067,0.534,699,2.464,1.131,0.932,0.116
4-9 | F<2 | hliml_boundary,27,27,0.549,1.702,3.183,5.973,1.598,0.037,0.602,26,2.653,1.412,0.932,0.038
10-19 | F<2 | hliml,29,29,0.895,2.692,6.543,8.798,1.797,0.034,0.577,29,2.311,1.028,0.895,0.172
20-49 | F<2 | hliml_boundary,29,29,0.91,1.25,3.049,7.178,2.013,0.172,0.541,29,2.384,1.354,0.936,0.172
20-49 | F2-7 | hliml,29,29,0.945,2.223,4.603,8.92,1.62,0.034,0.647,29,2.049,1.217,0.846,0.138
20-49 | F<2 | hliml,30,30,0.925,1.892,4.348,9.395,1.184,0,0.645,30,1.913,0.835,0.626,0.233
4-9 | F<2 | hliml,30,30,0.679,3.103,5.134,8.24,1.617,0.033,0.545,26,1.537,0.759,0.839,0.192
50+ | F2-7 | step2_weighted,28,28,0.962,4.833,7.978,49.271,5.72,0.036,0.314,28,9.59,4.087,1.731,0
20-49 | F<2 | step2_weighted,30,30,0.926,0.781,2.067,4.492,0.913,0.033,0.295,28,1.974,1.009,0.826,0.286
4-9 | F<2 | step2_weighted,20,20,0.585,0.4,1.952,2.462,0.546,0.05,0.416,17,0.66,0.405,0.684,0.176
10-19 | F<2 | hliml_boundary,30,30,0.845,0.677,2.192,5.596,1.205,0.033,0.53,30,2.268,0.863,0.857,0.033
20-49 | F2-7 | hliml_boundary,21,21,0.91,1.602,2.331,3.455,1.657,0,0.554,21,2.185,1.545,0.9,0.048
10-19 | F<2 | step2_weighted,25,25,0.88,0.608,2.842,5.166,1.026,0.08,0.294,25,2.261,0.644,0.854,0.04
50+ | F2-7 | hliml,30,30,0.979,2.285,3.566,6.455,1.567,0,0.697,30,1.458,1.19,0.774,0.167
nexp_NA | F<2 | hliml_boundary,10,10,0.289,1.088,4.223,9.971,0.746,0.2,0.885,10,2.519,0.49,1,0.2
10-19 | F2-7 | step2_weighted,10,10,0.871,4.947,14.523,27.627,2.85,0,0.335,10,8.336,2.103,1.494,0
10-19 | F>=7 | hliml_boundary,10,10,0.863,1.169,1.954,2.785,1.369,0.2,0.628,10,1.818,1.057,0.569,0.1
10-19 | F2-7 | hliml,15,15,0.9,1.303,2.194,7.413,1.517,0.133,0.605,15,1.307,0.94,0.64,0.133
50+ | F2-7 | hliml_boundary,18,18,0.954,2.338,3.748,5.7,2.05,0.056,0.556,18,2.637,1.638,1.085,0.056
10-19 | F2-7 | hliml_boundary,10,10,0.944,1.217,5.322,6.938,1.347,0,0.503,10,5.211,0.961,0.978,0
nexp_NA | F<2 | hliml,10,7,0.333,1.384,2.998,3.205,0.275,0.143,0.803,6,1.432,0.138,0.808,0
20-49 | F2-7 | step2_weighted,23,23,0.937,1.432,3.63,7.42,1.926,0.174,0.327,22,3.455,1.667,1.092,0.227
nexp_NA | F<2 | step2_weighted,10,10,0.287,1.068,1.441,3.54,0.567,0.2,0.548,8,0.929,0.424,1,0.25
50+ | F<2 | hliml,30,30,0.92,1.4,4.661,9.48,1.445,0.133,0.652,30,1.534,1.008,0.796,0.167
10-19 | F>=7 | hliml,10,10,0.799,3.362,8.37,17.123,2.978,0,0.707,10,6.118,1.608,1.045,0
4-9 | F2-7 | hliml_boundary,10,10,0.578,2.486,4.478,7.061,2.024,0.1,0.62,10,4.483,1.188,1.135,0
4-9 | F2-7 | hliml,10,9,0.726,2.174,15.145,17.581,1.175,0.111,0.559,9,5.68,1.002,1.008,0
4-9 | F>=7 | hliml,10,10,0.47,3.357,5.988,8.66,1.983,0,0.692,10,3.389,2.033,1.136,0.1
4-9 | F2-7 | step2_weighted,10,10,0.561,1.021,4.18,9.341,0.686,0,0.239,6,4.46,1.454,1.387,0
nexp_NA | F2-7 | hliml,10,9,0.299,0.525,4.742,13.285,0.417,0,0.683,9,2.121,0.098,1,0
4-9 | F>=7 | hliml_boundary,10,10,0.561,1.702,3.947,6.466,0.754,0.2,0.695,10,3.937,0.745,0.773,0.2
50+ | F<2 | hliml_boundary,20,20,0.985,3.106,3.878,5.978,2.155,0,0.455,20,3.352,1.729,0.987,0.05
50+ | F>=7 | hliml,10,10,0.991,1.2,2.99,5.676,1.381,0.3,0.553,10,0.887,0.825,0.467,0.3
50+ | F<2 | step2_weighted,19,19,0.957,0.499,1.902,4.419,0.84,0.158,0.424,19,1.621,0.463,0.516,0.105
20-49 | F>=7 | hliml,10,10,0.967,2.638,4.011,5.785,1.376,0,0.742,10,1.719,1.033,0.852,0.2
10-19 | F>=7 | step2_weighted,10,10,0.875,17.694,34.303,67.411,13.496,0,0.321,10,29.916,5.115,5.189,0
4-9 | F>=7 | step2_weighted,10,10,0.593,0.731,15.776,43.813,3.622,0.1,0.217,6,6.807,1.755,0.918,0
50+ | F>=7 | step2_weighted,10,10,0.966,41.25,85.758,149.362,35.73,0,0.411,10,103.349,18.859,7.321,0.1
20-49 | F>=7 | hliml_boundary,10,10,0.942,1.818,2.956,14.538,1.82,0,0.522,10,2.796,1.642,0.806,0.1
nexp_NA | F2-7 | hliml_boundary,10,9,0.247,0.997,6.213,27.866,0.871,0.222,0.828,7,1.236,0.585,1,0.286
50+ | F>=7 | hliml_boundary,10,10,0.965,3.363,4.754,12.468,3.334,0,0.448,10,3.446,1.823,0.927,0
20-49 | F>=7 | step2_weighted,10,10,0.939,8.886,14.763,136.427,11.053,0,0.347,10,11.853,4.992,3.309,0
nexp_NA | F>=7 | hliml_boundary,10,9,0.263,1.206,3.061,5.67,0.763,0.333,0.759,9,2.809,0.721,1,0.222
nexp_NA | F>=7 | hliml,10,8,0.291,2.038,8.152,27.791,0,0,0.744,8,3.121,0,0.997,0
nexp_NA | F2-7 | step2_weighted,10,10,0.286,0.467,4.584,12.227,0.618,0,0.483,7,0.765,0.057,0.972,0
nexp_NA | F>=7 | step2_weighted,3,3,0.236,1.613,1.919,2.081,0.663,0,0.477,2,1.533,0.035,0.953,0
4-9 | F_NA | step2_weighted,3,0,0.02,,,,,,0.5,0,,,,
4-9 | F_NA | hliml,4,0,0.018,,,,,,0.321,0,,,,
4-9 | F_NA | hliml_boundary,7,0,0.033,,,,,,0.852,0,,,,
