"cell_id","sigma_new","omega_new","sigma_stage1","importer","good","adjust","hliml_status","final_source","sigma_prod","omega_prod","sigma_hliml_prod","omega_hliml_prod","sigma_step2_prod","omega_step2_prod","status_prod","sigma_diff","heuristic_boundary"
"100_7204",1.84677606578455,0.548175548324674,4.48256149276323,100,"7204",0,"ok","hliml",1.84677606578421,0.548175548324511,1.84677606578421,0.548175548324511,2.12068037535891,0.686537579847726,"ok",3.36619621066347e-13,FALSE
"112_2805",1.36135666535252,2.83698450370103,2.19556231539912,112,"2805",1,"ok","step2_weighted",1.36135666535252,2.83698450370106,39.1147322796762,30.8438423127061,1.36135666535252,2.83698450370106,"ok",3.77475828372553e-15,FALSE
"12_2505",1.52796898633044,0.711358801689779,2.37418983121962,12,"2505",1,"hliml_fail_no_convergence","step2_weighted",1.52796898633044,0.711358801689793,NA,NA,1.52796898633044,0.711358801689793,"ok",8.88178419700125e-16,FALSE
"124_5209",10,1e-04,5.14050924072691,124,"5209",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,24.9828116200502,1e-04,"ok",0,TRUE
"140_8309",1.54667695143223,0.35833843087429,5.18059353298768,140,"8309",1,"hliml_fail_no_convergence","step2_weighted",1.54667695143223,0.358338430874283,NA,NA,1.54667695143223,0.358338430874283,"ok",-4.44089209850063e-16,FALSE
"144_5205",2.54908695650665,0.309653447084599,3.76384917327289,144,"5205",0,"ok","hliml",2.5490869564458,0.309653447069998,2.5490869564458,0.309653447069998,4.81272994818292,1.23131946240198,"ok",6.08513239797048e-11,FALSE
"152_0304",3.41768380449315,1.26548178969209,3.47959686052224,152,"0304",0,"ok","hliml",3.41768380448554,1.26548178968449,3.41768380448554,1.26548178968449,2.80614490301282,0.619918090695773,"ok",7.61302132445962e-12,FALSE
"152_0909",6.09967823883717,1.64503613307612,24.1388223161201,152,"0909",0,"ok","hliml",6.09967809989229,1.64503599567936,6.09967809989229,1.64503599567936,1.58619248373006,0.550255306505298,"ok",1.38944879601866e-07,FALSE
"152_8203",7.95169196217809,1e-04,2.02431285717276,152,"8203",1,"hliml_fail_no_convergence","step2_weighted",7.95169196217812,1e-04,NA,NA,7.95169196217812,1e-04,"ok",-3.37507799486048e-14,FALSE
"156_4811",2.76583987539793,1.15354657041672,13.6039667387338,156,"4811",0,"ok","hliml",2.76583987539877,1.15354657041385,2.76583987539877,1.15354657041385,2.99646009639404,1.5503748069293,"ok",-8.43769498715119e-13,FALSE
"156_8604",2.17828650596884,0.0494937620021364,6.23512159280123,156,"8604",0,"ok","hliml",2.17828650596933,0.0494937620004836,2.17828650596933,0.0494937620004836,2.27255363543545,0.219723803883038,"ok",-4.9427129056312e-13,FALSE
"170_2931",10,1.04922493575296,6.2825677730307,170,"2931",4,"hliml_fail_no_convergence","step2_weighted",10,1.04922493575294,NA,NA,10.0808513071799,1.04922493575294,"ok",0,TRUE
"170_7502",1.77092339181847,0.62130958033539,3.38446282127081,170,"7502",1,"hliml_fail_no_convergence","step2_weighted",1.77092339181974,0.621309580334655,NA,NA,1.77092339181974,0.621309580334655,"ok",-1.26787469412193e-12,FALSE
"170_9008",2.69283335434854,10,2.85542803615555,170,"9008",5,"hliml_fail_no_convergence","step2_weighted",2.69283335434854,10,NA,NA,2.69283335434854,10.0894877217609,"ok",-2.22044604925031e-15,FALSE
"178_8422",1.28965727403572,2.21118028184344,2.12917527230337,178,"8422",0,"ok","hliml",1.31168084517609,2.19183168526304,1.31168084517609,2.19183168526304,NA,NA,"ok",-0.0220235711403716,FALSE
"188_5602",5.43757584552766,0.99726159186804,3.61755152402956,188,"5602",0,"ok","hliml",5.43757584555613,0.997261591871779,5.43757584555613,0.997261591871779,5.45221613253446,0.983538748674766,"ok",-2.84732237787466e-11,FALSE
"188_7229",1.40982042930814,0.519971294420329,5.11726273607304,188,"7229",0,"ok","hliml",1.40982042930679,0.51997129441921,1.40982042930679,0.51997129441921,1.29911968672338,0.325438127081275,"ok",1.35291777780822e-12,FALSE
"191_6001",5.06225228427419,1e-04,4.52142865340806,191,"6001",1,"hliml_fail_no_convergence","step2_weighted",5.06225228427416,1e-04,NA,NA,5.06225228427416,1e-04,"ok",2.93098878501041e-14,FALSE
"191_6109",2.4566878945411,1.30362567284743,6.96214111674117,191,"6109",0,"ok","hliml",2.45668789453144,1.30362567280436,2.45668789453144,1.30362567280436,2.31331361093183,1.36950928786969,"ok",9.66382529554721e-12,FALSE
"191_6302",4.2936062338214,1e-04,4.31593172187801,191,"6302",1,"hliml_fail_no_convergence","step2_weighted",4.29360623382141,1e-04,NA,NA,4.29360623382141,1e-04,"ok",-9.76996261670138e-15,FALSE
"196_7115",8.94389761531157,1e-04,4.10512570944971,196,"7115",1,"hliml_fail_no_convergence","step2_weighted",8.94389761530948,1e-04,NA,NA,8.94389761530948,1e-04,"ok",2.08721928629529e-12,FALSE
"203_6215",2.96357797916621,0.827392831243926,2.87586311819992,203,"6215",1,"hliml_fail_no_convergence","step2_weighted",2.96357797916614,0.82739283124395,NA,NA,2.96357797916614,0.82739283124395,"ok",6.61692922676593e-14,FALSE
"208_7408",6.95910019877393,1e-04,5.77586115871624,208,"7408",1,"hliml_fail_no_convergence","step2_weighted",6.95910019877396,1e-04,NA,NA,6.95910019877396,1e-04,"ok",-3.46389583683049e-14,FALSE
"212_1108",1.46807567602704,0.159147142505079,1.75471723799416,212,"1108",0,"ok","hliml",1.46807567602702,0.159147142505097,1.46807567602702,0.159147142505097,1.54516646621885,0.0857289192328955,"ok",1.75415237890775e-14,FALSE
"222_5514",3.10262788284124,0.377903003291321,4.69771207260654,222,"5514",0,"ok","hliml",3.10262788284688,0.377903003294937,3.10262788284688,0.377903003294937,2.53920281281654,0.199899231930747,"ok",-5.6381566082564e-12,FALSE
"231_3405",10,1e-04,5.76409049875965,231,"3405",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,214.92000308302,1e-04,"ok",0,TRUE
"232_9024",2.01492059566226,1e-04,1.71156465841167,232,"9024",1,"hliml_fail_no_convergence","step2_weighted",2.01492059566226,1e-04,NA,NA,2.01492059566226,1e-04,"ok",-3.10862446895044e-15,FALSE
"233_1002",10,0.0746272671448539,3.6473732175845,233,"1002",4,"hliml_fail_no_convergence","step2_weighted",10,0.0746272671448558,NA,NA,15.9824674803074,0.0746272671448558,"ok",0,TRUE
"233_5310",2.44808012286844,1e-04,3.4378655160248,233,"5310",1,"hliml_fail_no_convergence","step2_weighted",2.44808012286846,1e-04,NA,NA,2.44808012286846,1e-04,"ok",-1.77635683940025e-14,FALSE
"24_2928",8.32558359354707,3.62405413470975,45.7446121256342,24,"2928",1,"ok","step2_weighted",8.32558359354708,3.6240541347097,155.79647043282,82.785028955192,8.32558359354708,3.6240541347097,"ok",-7.105427357601e-15,FALSE
"246_3215",3.50561254842349,1e-04,3.72187674957892,246,"3215",1,"hliml_fail_no_convergence","step2_weighted",3.50561254842356,1e-04,NA,NA,3.50561254842356,1e-04,"ok",-7.14983627858601e-14,FALSE
"270_2517",3.77019780007991,2.74184515309159,3.91451860929813,270,"2517",0,"ok","hliml",3.77019780002058,2.74184515307879,3.77019780002058,2.74184515307879,3.48842677600176,2.59261286772494,"ok",5.93347593280669e-11,FALSE
"288_1005",10,1e-04,5.46357765823901,288,"1005",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,15.8504698351639,1e-04,"ok",0,TRUE
"288_3919",2.93131575074426,1e-04,3.72142741032844,288,"3919",1,"hliml_fail_no_convergence","step2_weighted",2.93131575074422,1e-04,NA,NA,2.93131575074422,1e-04,"ok",3.5527136788005e-14,FALSE
"300_9019",1.2357481490216,0.362472056911281,2.93265129683147,300,"9019",1,"hliml_fail_no_convergence","step2_weighted",1.23574814902159,0.362472056911276,NA,NA,1.23574814902159,0.362472056911276,"ok",6.21724893790088e-15,FALSE
"31_4009",10,1e-04,3.71995440383003,31,"4009",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,36.7959613985482,1e-04,"ok",0,TRUE
"320_5204",1.78846266745698,0.42995904863594,4.90989145161627,320,"5204",1,"hliml_fail_no_convergence","step2_weighted",1.78846266745698,0.429959048635942,NA,NA,1.78846266745698,0.429959048635942,"ok",-2.66453525910038e-15,FALSE
"328_0713",1.46763295796676,0.0549779606588258,4.95674190501041,328,"0713",1,"hliml_fail_no_convergence","step2_weighted",1.46763295796676,0.054977960658823,NA,NA,1.46763295796676,0.054977960658823,"ok",-4.21884749357559e-15,FALSE
"340_2843",3.43926130790929,10,4.62317161952828,340,"2843",5,"hliml_fail_no_convergence","step2_weighted",3.43926130790929,10,NA,NA,3.43926130790929,13.8234340262452,"ok",-1.77635683940025e-15,FALSE
